name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,5yrs
Bryan Warrick,43,16.9,4,1.5,4,0,0.1,1,1.3,0.3,1.3,2.9,0.5,0.2,1.7,0
David Thirdkill,49,10.6,4,1.5,3.5,0,0.1,0.9,1.6,0.6,0.9,0.7,0.4,0.1,1,0
Brook Steppe,62,9.8,4,1.4,2.8,0,0.1,1.2,1.6,0.4,0.8,1.1,0.4,0,0.9,1
Darren Tillis,52,10.1,3.2,1.5,3.5,0,0,0.3,0.5,0.8,1.7,0.3,0.2,0.6,0.4,0
Walker Russell,68,11.1,2.7,1,2.7,0,0.3,0.7,0.9,0.3,0.8,1.9,0.2,0,1.4,1
Reggie Theus,82,33.6,16.3,6.5,13.6,,,3.2,4.2,1.1,1.7,5.2,1.1,0.2,3.7,1
John Long,82,30.5,16.1,7.1,15.1,,,1.9,2.3,1.5,1.7,1.5,1.2,0.2,1.7,1
Phil Ford,79,34.5,15.9,5.9,12.7,,,4.1,5.1,0.4,1.9,8.6,2.2,0.1,4.1,1
Mychal Thompson,73,29.4,14.7,6.3,12.8,,,2.1,3.7,2.7,5.6,2.4,0.9,1.8,2.8,1
Ron Brewer,81,30.3,13.3,5.4,10.8,,,2.6,3.2,1.1,1.7,2,1.3,1,1.9,1
Terry Tyler,82,31.2,12.9,5.6,11.5,,,1.8,2.7,2.6,5.3,1.1,1.3,2.5,1.7,1
Mike Mitchell,80,19.7,10.7,4.5,8.8,,,1.6,2.2,1.6,2.5,0.8,0.6,0.4,1.3,1
Purvis Short,75,22.7,10.6,4.9,10.3,,,0.8,1.1,1.7,2.9,1.3,0.7,0.2,1.5,1
Freeman Williams,72,16.6,10.4,4.7,9.5,,,1.1,1.4,0.7,0.7,1.2,0.6,0,1.4,1
Winford Boynes,69,17,9.3,3.7,8.6,,,1.9,2.4,0.9,1.4,1.1,0.6,0.1,1.7,0
Jeff Judkins,81,18.8,8.8,3.6,7.2,,,1.5,1.8,0.9,1.5,1.8,1,0.1,1.3,0
Maurice Cheeks,82,29.4,8.4,3.6,7,,,1.2,1.7,0.8,2.3,5.3,2.1,0.1,2.4,1
Billy McKinney,78,15.9,7.8,3.1,6.1,,,1.7,2.1,0.3,0.8,3.2,0.7,0,1.6,1
Jack Givens,74,18.2,7.7,3.2,7.6,,,1.4,1.8,1.3,1.6,1.1,1,0.2,1,0
James Hardy,68,21.4,6.7,2.9,6.3,,,0.9,1.3,1.8,2.8,1,0.8,0.9,1.4,0
Micheal Ray Richardson,72,16.9,6.5,2.8,6.7,,,1,1.8,1.1,2.2,3,1.4,0.3,2,1
George Johnson,67,17.3,6.2,2.5,5.1,,,1.3,1.7,1.6,3.8,1.2,1.1,0.7,1.5,1
Joel Kramer,82,17.1,5.9,2.2,4.5,,,1.5,2.1,1.6,2.5,1.1,0.5,0.3,1.2,0
Kenny Higgs,68,15.4,5,1.9,4.1,,,1.3,1.6,0.3,1.2,2.1,1,0.2,0.7,0
Raymond Townsend,65,11.9,4.7,2,4.4,,,0.8,1,0.2,0.7,1.4,0.4,0.1,0.8,0
Wayne Cooper,65,12.2,4.6,2,4.5,,,0.6,0.9,1.4,2.9,0.3,0.1,0.7,0.8,1
Harry Davis,40,9.9,4.1,1.7,3.8,,,0.8,1.1,0.7,1,0.4,0.3,0.2,0.6,0
Tommy Green,59,13.7,3.9,1.6,4,,,0.8,1.1,0.3,0.8,2.4,1,0.1,1.5,0
Wayne Radford,52,12.5,3.9,1.6,3.4,,,0.7,0.9,0.5,0.8,1.1,0.6,0,0.9,0
Clemon Johnson,74,10.7,3.2,1.4,2.9,,,0.5,1,1.1,1.9,1.1,0.3,0.5,0.9,1
John Rudd,58,12.5,3.2,1,2.3,,,1.1,1.6,1.2,1.7,0.6,0.3,0.1,1,0
Ron Carter,46,7.2,3.1,1.2,2.7,,,0.8,1.2,0.5,0.5,0.5,0.4,0.2,0.9,0
Rick Wilson,61,9.7,3,1.3,3.2,,,0.4,0.7,0.3,0.9,1.2,0.5,0.1,0.7,0
Dave Corzine,59,9,3,1.1,2,,,0.8,1.1,0.9,1.6,0.8,0.2,0.2,0.9,1
Walter Davis,81,32,24.2,9.7,18.4,,,4.8,5.8,2,4,3.4,1.4,0.2,3.5,1
Bernard King,79,39.1,24.2,10.1,21.1,,,4,5.8,3.4,6.2,2.4,1.5,0.5,3.9,1
Marques Johnson,80,34.6,19.5,7.9,15.1,,,3.8,5.1,3.7,6.9,2.4,1.2,1.3,2.2,1
Otis Birdsong,73,25.7,15.8,6.4,13.1,,,3,4.2,1,1.4,2.4,1,0.2,2,1
James Edwards,83,29,15.2,6,13.2,,,3.3,5.1,2.4,5,1,0.6,0.9,2,1
Norm Nixon,81,34.3,13.7,6.1,12.3,,,1.4,2,0.5,2.4,6.8,1.7,0.1,3.1,1
Charlie Criss,77,25.1,11.4,4.1,9.8,,,3.1,3.8,0.3,1.3,3.8,1.4,0.1,1.9,1
Jack Sikma,82,27.3,10.7,4.2,9.2,,,2.3,3,2.4,5.9,1.6,0.8,0.5,2.3,1
Eddie Johnson,79,23.7,10.5,4.2,8.7,,,2.1,2.5,0.6,1.3,3,1.3,0.1,2.1,1
Anthony Roberts,82,19.5,9.5,3.8,9,,,1.9,2.6,1.6,2.6,1.3,0.5,0.1,1.4,1
Ray Williams,81,19.1,9.3,3.8,8.5,,,1.8,2.6,1,1.5,4.5,1.3,0.2,3,1
Mike Glenn,56,16.9,7.9,3.5,6.6,,,0.9,1.2,0.3,1.2,1.4,0.6,0.1,0.9,1
Kent Benson,69,18.7,7.7,3.2,6.9,,,1.3,2,1.3,3,1.4,1,0.8,1.7,1
Tree Rollins,80,22.4,7.6,3.2,6.5,,,1.3,1.9,2.2,4.7,1,0.7,2.7,1.5,1
Cedric Maxwell,72,16.8,7.3,2.4,4.4,,,2.6,3.5,1.9,3.3,0.9,0.7,0.7,1.7,1
Robert Reid,80,23.1,7.3,3.3,7.2,,,0.8,1.2,1.4,3.1,1.5,0.8,0.6,1,1
Alonzo Bradley,43,18.6,7,3,7.1,,,1,1.4,0.6,1.7,1.3,0.4,0.1,1.3,0
Ernie Grunfeld,73,17.3,6.9,2.8,6.3,,,1.3,2,1,1.7,2,0.7,0.3,1.3,1
Toby Knight,80,14.6,6.3,2.8,5.8,,,0.8,1.2,1.5,2.5,0.5,0.6,0.4,1.2,0
Kenny Carr,52,14.1,6.2,2.6,5.8,,,1.1,1.6,1,3,0.5,0.3,0.3,1.7,1
Alvin Scott,81,19,6.1,2.2,4.6,,,1.6,2.4,1.7,2.7,1.1,0.6,0.5,1,1
Tony Robertson,63,14.7,5.9,2.7,6,,,0.6,0.8,0.2,0.9,1.6,1.2,0.1,1.4,0
Mark Landsberger,62,14.9,5.6,2,4,,,1.5,2.5,1.8,3.1,0.7,0.3,0.1,1.1,1
Greg Ballard,76,12.3,4.9,1.9,4.4,,,1.2,1.5,1.3,2.2,0.8,0.4,0.2,0.8,1
John Kuester,78,15.6,4.8,1.9,4.1,,,1.1,1.3,0.2,1.2,3.2,0.7,0,1.2,0
Glen Gondrezick,72,14.1,4.8,1.8,4.7,,,1.2,1.7,1.3,2.2,1.2,0.8,0.3,1.1,1
Mike Bratz,80,11.7,4.7,2,4.9,,,0.7,0.9,0.5,0.9,1.5,0.5,0.1,1.1,1
Wesley Cox,43,10.5,4.6,1.6,4,,,1.3,2.3,1,2.3,0.3,0.5,0.2,0.8,0
Eric Marsh,60,14.2,4.5,2.1,4.8,,,0.4,0.6,0.3,1,1.5,0.5,0.3,0.8,0
Rickey Green,76,14.4,4.5,1.9,4.9,,,0.7,1.2,0.6,0.9,2,0.8,0,1,1
